rank	artist	title	peak_date
1	Whitney Houston	I Wanna Dance With Somebody (Who Loves Me)	1987-06-27
2	ABBA	Dancing Queen	1977-04-09
3	The Temptations	My Girl	1965-03-06
4	Backstreet Boys	I Want It That Way	1999-06-26
5	Kelly Clarkson	Since U Been Gone	2005-04-09
6	Madonna	Like a Prayer	1989-04-22
7	Michael Jackson	Billie Jean	1983-03-05
8	Carly Rae Jepsen	Call Me Maybe	2012-06-23
9	2Pac feat. Dr. Dre	California Love	1996-09-13
10	 The Beatles	I Want to Hold Your Hand	1964-02-01
11	 Prince and the Revolution	Kiss	1986-04-19
12	 Britney Spears	...Baby One More Time	1999-01-30
13	 Nicki Minaj	Super Bass	2011-08-13
14	 OutKast	Hey Ya!	2003-12-13
15	 Mariah Carey	Fantasy	1995-09-30
16	 Earth	September	1979-02-10
17	 Fleetwood Mac	Dreams	1977-06-18
18	 Beyoncé feat. Jay-Z	Crazy in Love	2003-07-12
19	 The Ronettes	Be My Baby	1963-10-12
20	 TLC	No Scrubs	1999-04-10
21	 Aretha Franklin	Respect	1967-06-03
22	 Missy Elliott	Work It	2002-11-16
23	 Jackson 5	I Want You Back	1970-01-31
24	 Lady Gaga	Bad Romance	2009-12-05
25	 The Beach Boys	Good Vibrations	1966-12-10
26	 a-ha	Take on Me	1985-10-19
27	 The Isley Brothers	Shout	1959-10-26
28	 Tears for Fears	Everybody Wants to Rule the World	1985-06-08
29	 The Supremes	Where Did Our Love Go	1964-08-22
30	 Adele	Rolling in the Deep	2011-05-21
31	 Usher feat. Lil Jon & Ludacris	Yeah!	2004-02-28
32	 The Bee Gees	Stayin' Alive	1978-02-04
33	 The Shirelles	Will You Love Me Tomorrow	1961-01-30
34	 Al Green	Let's Stay Together	1972-02-12
35	 Gloria Gaynor	I Will Survive	1979-03-10
36	 Spice Girls	Wannabe	1997-02-22
37	 Marvin Gaye & Tammi Terrell	Ain't No Mountain High Enough	1967-07-15
38	 Katy Perry	Teenage Dream	2010-09-18
39	 George Michael	Freedom '90	1990-12-22
40	 Looking Glass	Brandy (You're a Fine Girl)	1972-08-26
41	 The B-52s	Love Shack	1989-11-18
42	 Taylor Swift	You Belong With Me	2009-08-22
43	 Donna Summer	Last Dance	1978-08-12
44	 Otis Redding	(Sittin' On) The Dock of the Bay	1968-03-16
45	 Dr. Dre feat. Snoop Dogg	Nuthin' But a 'G' Thang	1993-03-20
46	 Soft Cell	Tainted Love	1982-07-17
47	 Blondie	Heart of Glass	1979-04-28
48	 Oasis	Wonderwall	1996-03-09
49	 Gotye feat. Kimbra	Somebody That I Used to Know	2012-04-28
50	 Rihanna feat. Jay-Z	Umbrella	2007-06-09
51	 Journey	Don't Stop Believin'	1981-12-19
52	 The Mamas & The Papas	California Dreamin'	1966-03-12
53	 Britney Spears	Toxic	2004-03-27
54	 Elton John	Your Song	1971-01-23
55	 Rick Springfield	Jessie's Girl	1981-08-01
56	 Bell Biv DeVoe	Poison	1990-06-09
57	 *NSYNC	Bye Bye Bye	2000-04-15
58	 50 Cent	In Da Club	2003-03-08
59	 Roy Orbison and the Candy Men	Oh, Pretty Woman	1964-09-26
60	 Whitney Houston	I Will Always Love You	1992-11-28
61	 Hanson	MMMBop	1997-05-24
62	 Ben E. King	Stand by Me	1961-06-12
63	 Cyndi Lauper	Girls Just Want to Have Fun	1984-03-10
64	 Four Seasons	December 1963 (Oh What a Night)	1976-03-13
65	 The Monkees	I'm a Believer	1966-12-31
66	 Ariana Grande	Thank U, Next	2018-11-17
67	 Paul McCartney & Wings	Silly Love Songs	1976-05-22
