group,puzzle_date,difficulty_emoji,words,group_id
3-d shapes,2023-07-12,🟢,"cone, cube, pyramid, sphere",1
60s band members,2023-07-04,🟡,"beach boy, beatle, byrd, monkee",2
__ and ___,2023-07-16,🟣,"again, half, neck, so",3
___ boys,2023-07-24,🟣,"beach, beastie, hardy, lost",4
___ cat,2023-07-10,🟣,"alley, cool, copy, lap",5
___ cat,2023-07-23,🟣,"doja, fat, house, jungle",6
___ clock,2023-07-30,🟣,"alarm, biological, cuckoo, grandfather",7
___ fish that aren’t fish,2023-06-18,🟣,"cray, jelly, silver, star",8
___ man superheroes,2023-06-15,🟣,"bat, iron, spider, super",9
___ point,2023-08-11,🟣,"match, moot, selling, west",10
___ road,2023-08-04,🟣,"abbey, high, rocky, silk",11
___ stick,2023-08-05,🟣,"fish, hockey, memory, selfie",12
___ triangle,2023-06-28,🟣,"acute, bermuda, love, right",13
adams,2023-08-01,🟣,"ant, driver, scott, west",14
airlines,2023-06-24,🟡,"frontier, spirit, united, virgin",15
anagrams,2023-07-25,🟣,"least, slate, stale, tesla",16
animal group names,2023-06-23,🟡,"flock, pad, school, pod",17
animal group names,2023-08-03,🟡,"colony, herd, pride, swarm",18
animal noses,2023-07-03,🟢,"beak, muzzle, snout, trunk",19
animals with tusks,2023-07-06,🔵,"elephant, hippo, narwhal, warthog",20
anti-vampire,2023-06-30,🟢,"crucifix, garlic, mirror, stake",21
ap classes,2023-08-03,🔵,"bio, chem, gov, stats",22
apparitions,2023-07-29,🟢,"ghost, phantom, specter, spirit",23
arachnids,2023-08-08,🟡,"mite, scorpion, spider, tick",24
arithmetic operations,2023-07-10,🟢,"add, divide, multiply, subtract",25
australian terms,2023-08-11,🔵,"barbie, bush, crikey, mate",26
awards,2023-06-29,🟢,"cup, medal, ribbon, trophy",27
baby animals,2023-06-18,🟢,"calf, cub, joey, kid",28
bagel flavors,2023-07-19,🔵,"everything, onion, plain, poppy",29
band names minus colors,2023-07-26,🟣,"day, floyd, sabbath, stripes",30
band names minus numbers,2023-07-05,🟣,"blink, maroon, sum, u",31
beds,2023-06-25,🟡,"bunk, canopy, murphy, trundle",32
best director oscar winners,2023-07-01,🟣,"bong, ford, lee, stone",33
bike parts,2023-07-18,🟢,"brake, chain, saddle, spoke",34
biomes,2023-07-28,🟡,"desert, forest, grassland, tundra",35
bird sounds,2023-06-26,🟡,"caw, chirp, cluck, tweet",36
birds,2023-06-21,🔵,"crane, jay, swallow, turkey",37
board games,2023-06-19,🟡,"backgammon, checkers, chess, go",38
board games,2023-07-13,🟢,"clue, risk, sorry, trouble",39
boats,2023-07-14,🟡,"ferry, junk, tug, yacht",40
bottled water brands,2023-07-22,🟡,"dasani, evian, fiji, voss",41
candy bars,2023-07-05,🟡,"bounty, crunch, heath, milky way",42
candy pieces,2023-08-07,🟣,"dot, goober, kiss, whopper",43
cartoon cats,2023-08-04,🟢,"felix, garfield, sylvester, tom",44
celestial objects,2023-08-09,🟢,"asteroid, comet, moon, planet",45
cereal mascots,2023-07-22,🟣,"lucky, pop, sam, tony",46
chocolate bars,2023-07-17,🟢,"chunky, crunch, mars, mounds",47
classic arcade games,2023-08-06,🟡,"asteroids, breakout, frogger, pong",48
classic toys,2023-08-05,🟡,"blocks, doll, top, yo-yo",49
cleaning verbs,2023-06-15,🔵,"dust, mop, sweep, vacuum",50
clue characters,2023-06-16,🟣,"green, mustard, plum, scarlet",51
