group,puzzle_date,difficulty_emoji,order,word
state abbreviations,2023-08-12,🟡,1,co
state abbreviations,2023-08-12,🟡,2,ma
state abbreviations,2023-08-12,🟡,3,me
state abbreviations,2023-08-12,🟡,4,pa
musical notes,2023-08-12,🟢,1,do
musical notes,2023-08-12,🟢,2,fa
musical notes,2023-08-12,🟢,3,la
musical notes,2023-08-12,🟢,4,ti
greek letters,2023-08-12,🔵,1,mu
greek letters,2023-08-12,🔵,2,nu
greek letters,2023-08-12,🔵,3,pi
greek letters,2023-08-12,🔵,4,xi
periodic table symbols,2023-08-12,🟣,1,fe
periodic table symbols,2023-08-12,🟣,2,he
periodic table symbols,2023-08-12,🟣,3,na
periodic table symbols,2023-08-12,🟣,4,ni
theoretical physicists,2023-08-11,🟡,1,einstein
theoretical physicists,2023-08-11,🟡,2,feynman
theoretical physicists,2023-08-11,🟡,3,hawking
theoretical physicists,2023-08-11,🟡,4,oppenheimer
talent,2023-08-11,🟢,1,faculty
talent,2023-08-11,🟢,2,flair
talent,2023-08-11,🟢,3,genius
talent,2023-08-11,🟢,4,gift
australian terms,2023-08-11,🔵,1,barbie
australian terms,2023-08-11,🔵,2,bush
australian terms,2023-08-11,🔵,3,crikey
australian terms,2023-08-11,🔵,4,mate
___ point,2023-08-11,🟣,1,match
___ point,2023-08-11,🟣,2,moot
___ point,2023-08-11,🟣,3,selling
___ point,2023-08-11,🟣,4,west
horror franchises,2023-08-10,🟡,1,purge
horror franchises,2023-08-10,🟡,2,ring
horror franchises,2023-08-10,🟡,3,saw
horror franchises,2023-08-10,🟡,4,scream
sports venues,2023-08-10,🟢,1,court
sports venues,2023-08-10,🟢,2,diamond
sports venues,2023-08-10,🟢,3,field
sports venues,2023-08-10,🟢,4,rink
make happy,2023-08-10,🔵,1,charm
make happy,2023-08-10,🔵,2,delight
make happy,2023-08-10,🔵,3,please
make happy,2023-08-10,🔵,4,tickle
jewelry,2023-08-10,🟣,1,anklet
jewelry,2023-08-10,🟣,2,bangle
jewelry,2023-08-10,🟣,3,brooch
jewelry,2023-08-10,🟣,4,pendant
unspecified quantities,2023-08-09,🟡,1,few
unspecified quantities,2023-08-09,🟡,2,handful
unspecified quantities,2023-08-09,🟡,3,several
unspecified quantities,2023-08-09,🟡,4,some
celestial objects,2023-08-09,🟢,1,asteroid
celestial objects,2023-08-09,🟢,2,comet
celestial objects,2023-08-09,🟢,3,moon
celestial objects,2023-08-09,🟢,4,planet
newspapers,2023-08-09,🔵,1,globe
newspapers,2023-08-09,🔵,2,journal
newspapers,2023-08-09,🔵,3,post
newspapers,2023-08-09,🔵,4,sun
fruit homophones,2023-08-09,🟣,1,lyme
fruit homophones,2023-08-09,🟣,2,mellon
fruit homophones,2023-08-09,🟣,3,pair
fruit homophones,2023-08-09,🟣,4,plumb
arachnids,2023-08-08,🟡,1,mite
arachnids,2023-08-08,🟡,2,scorpion
arachnids,2023-08-08,🟡,3,spider
arachnids,2023-08-08,🟡,4,tick
fish,2023-08-08,🟢,1,char
fish,2023-08-08,🟢,2,eel
fish,2023-08-08,🟢,3,perch
fish,2023-08-08,🟢,4,shark
superheroes,2023-08-08,🔵,1,black widow
superheroes,2023-08-08,🔵,2,blade
superheroes,2023-08-08,🔵,3,flash
superheroes,2023-08-08,🔵,4,storm
mtv shows,2023-08-08,🟣,1,catfish
mtv shows,2023-08-08,🟣,2,cribs
mtv shows,2023-08-08,🟣,3,jackass
mtv shows,2023-08-08,🟣,4,state
movie genres,2023-08-07,🟡,1,horror
movie genres,2023-08-07,🟡,2,musical
movie genres,2023-08-07,🟡,3,romance
movie genres,2023-08-07,🟡,4,western
patterns,2023-08-07,🟢,1,houndstooth
patterns,2023-08-07,🟢,2,paisley
patterns,2023-08-07,🟢,3,plaid
patterns,2023-08-07,🟢,4,stripes
synonyms for falsehood,2023-08-07,🔵,1,fib
synonyms for falsehood,2023-08-07,🔵,2,fiction
synonyms for falsehood,2023-08-07,🔵,3,lie
synonyms for falsehood,2023-08-07,🔵,4,tale
candy pieces,2023-08-07,🟣,1,dot
candy pieces,2023-08-07,🟣,2,goober
candy pieces,2023-08-07,🟣,3,kiss
candy pieces,2023-08-07,🟣,4,whopper
classic arcade games,2023-08-06,🟡,1,asteroids
classic arcade games,2023-08-06,🟡,2,breakout
classic arcade games,2023-08-06,🟡,3,frogger
classic arcade games,2023-08-06,🟡,4,pong
dances,2023-08-06,🟢,1,hustle
dances,2023-08-06,🟢,2,salsa
dances,2023-08-06,🟢,3,swing
dances,2023-08-06,🟢,4,tango
touchscreen gestures,2023-08-06,🔵,1,pinch
touchscreen gestures,2023-08-06,🔵,2,spread
touchscreen gestures,2023-08-06,🔵,3,swipe
touchscreen gestures,2023-08-06,🔵,4,tap
rappers minus numbers,2023-08-06,🟣,1,cent
rappers minus numbers,2023-08-06,🟣,2,chainz
rappers minus numbers,2023-08-06,🟣,3,pac
rappers minus numbers,2023-08-06,🟣,4,savage
classic toys,2023-08-05,🟡,1,blocks
classic toys,2023-08-05,🟡,2,doll
classic toys,2023-08-05,🟡,3,top
classic toys,2023-08-05,🟡,4,yo-yo
words with three g's,2023-08-05,🟢,1,baggage
words with three g's,2023-08-05,🟢,2,eggnog
words with three g's,2023-08-05,🟢,3,giggle
words with three g's,2023-08-05,🟢,4,leggings
shakespeare characters,2023-08-05,🔵,1,duncan
shakespeare characters,2023-08-05,🔵,2,juliet
shakespeare characters,2023-08-05,🔵,3,puck
shakespeare characters,2023-08-05,🔵,4,viola
___ stick,2023-08-05,🟣,1,fish
___ stick,2023-08-05,🟣,2,hockey
___ stick,2023-08-05,🟣,3,memory
